TRAVEL_ID,TRAVELER_ID,TRAVEL_NM,TRAVEL_PURPOSE,TRAVEL_PERSONA,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_STATUS_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,activity_payment_sum,activity_payment_count,activity_store_count,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_DURATION_DAYS,TRAVEL_STATUS_LAG_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,MISSION_CODE_COUNT,MISSION_CD_22,MISSION_CD_1,MISSION_CD_6,MISSION_CD_2,MISSION_CD_21,activity_history_rows,activity_type_unique,ACTIVITY_CD_1,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_CD_2,ACTIVITY_CD_3
e_e006446,e006446,E03,1;22;2;10;7;24,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-14,2023-08-15,,대중교통 등,1;22;24,61000,2,2,0,0,0,5.0,4.0,4.0,2,2,1.0,여,20,4,7.0,2,1,1,2인 여행(가족 외),1,,2023,8,3,1,1,0,0,0,2,1,2,0,0,0,0
e_e006447,e006447,E03,10;2;22;4;5,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-06,2023-08-07,,대중교통 등,2;5;22,42900,4,3,0,0,0,4.666666666666667,4.666666666666667,4.333333333333333,2,3,0.6666666666666666,남,20,2,7.0,2,1,1,2인 여행(가족 외),1,,2023,8,3,1,0,0,1,0,4,2,2,0,0,2,0
e_e006448,e006448,E03,22;5;8,서울 외 수도권 방문/수도권 거주/40세 이상/3대 동반 여행/일반미션,2023-08-12,2023-08-13,,자가용,8;5;22,45400,2,2,0,0,0,5.0,4.5,4.5,2,2,1.0,남,60,6,8.0,2,1,10,3대 동반 여행(친척 포함),1,,2023,8,3,1,0,0,0,0,4,4,1,1,1,1,0
e_e006452,e006452,E03,2;3;22;26,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-15,2023-08-16,,대중교통 등,2;3;22,159500,9,9,0,0,0,5.0,5.0,5.0,2,7,0.1428571428571428,여,20,3,6.0,3,7,1,2인 여행(가족 외),1,,2023,8,3,1,0,0,1,0,12,5,5,3,1,1,2
e_e006458,e006458,E01,22;26,서울 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-12,2023-08-13,,대중교통 등,26;22;1,80300,2,2,0,0,0,3.333333333333333,2.6666666666666665,3.0,2,3,0.3333333333333333,여,30,6,12.0,3,3,1,2인 여행(가족 외),1,,2023,8,3,1,1,0,0,0,4,3,2,0,0,1,0
e_e006460,e006460,E01,21;22;24;26,서울 방문/거주지 구분 없음/40세 이상/특별미션,2023-08-19,2023-08-20,,자가용,4;1;24,81600,4,4,0,0,0,4.0,4.0,3.8,2,5,0.2,여,40,10,10.0,2,2,1,2인 가족 여행,1,,2023,8,3,0,1,0,0,0,7,4,3,1,2,1,0
e_e006463,e006463,E03,4;6,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-19,2023-08-20,,자가용,6;4;9,104500,4,3,0,0,0,4.0,4.333333333333333,4.166666666666667,2,6,1.0,여,30,6,8.0,3,2,1,2인 여행(가족 외),1,,2023,8,3,0,0,1,0,0,6,3,2,1,0,0,3
e_e006474,e006474,E03,2;21;9,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-06,2023-08-07,,자가용,21;2;9,181500,6,6,0,0,0,5.0,5.0,5.0,2,4,0.0,여,60,1,5.0,3,3,2,자녀 동반 여행,1,,2023,8,3,0,0,0,1,1,8,3,4,2,0,0,2
e_e006483,e006483,E03,1;2;22;4,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-07,2023-08-08,,자가용,1;21;22,13950,2,2,0,0,0,5.0,5.0,5.0,2,3,0.3333333333333333,여,20,4,6.0,3,5,0,나홀로 여행,1,,2023,8,3,1,1,0,0,1,3,2,2,0,0,1,0
e_e006486,e006486,E01,1;21;22;23,서울 방문/수도권 외 거주/40세 이상/3대 동반 여행/일반미션,2023-08-20,2023-08-21,,대중교통 등,1;10;23,316400,3,3,0,0,0,4.0,5.0,5.0,2,4,0.5,남,60,1,6.0,3,5,2,3대 동반 여행(친척 포함),1,,2023,8,3,0,1,0,0,0,6,5,1,1,0,2,1
