TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e012137,41,여,20,4,1,4,12,2,4.0,3,4,42,42150,50,50110,42,42210,4,경기도,서울,나홀로 여행,2,1.0,7.0,0,41,11
e000680,47,남,40,6,2,3,3,8,8.0,3,3,11,11110,26,26350,27,27260,3,경상북도,서울,자녀 동반 여행,8,3.0,7.0,2,47,11
e002683,11,여,30,6,1,1,3,5,7.0,3,4,42,42150,50,50130,46,46150,5,서울특별시,경기,3인 이상 여행(가족 외),1,6.0,3.0,2,11,41
e000561,41,남,50,4,2,4,7,6,9.0,3,2,28,28185,42,42130,11,11680,2,경기도,인천,나홀로 여행,4,2.0,1.0,0,41,28
e001230,41,여,50,6,2,2,5,4,6.0,3,6,42,42150,41,41480,11,11680,5,경기도,경기,3인 이상 여행(가족 외),6,2.0,3.0,2,41,41
e004877,11,여,20,6,1,4,3,4,7.0,3,4,42,42150,11,11440,50,50110,3,서울특별시,경기,2인 여행(가족 외),2,1.0,3.0,1,11,41
e007772,11,여,60,7,2,4,2,5,5.0,3,6,42,42150,43,43730,47,47750,1,서울특별시,경기,3인 이상 여행(가족 외),8,0.0,0.0,3,11,41
e002728,26,여,30,6,2,2,3,4,7.0,2,1,42,42720,41,41820,42,42760,4,부산광역시,경기,2인 가족 여행,7,1.0,3.0,1,26,41
e006314,11,여,20,6,1,3,12,2,7.0,3,4,42,42150,26,26350,46,46130,5,서울특별시,인천,2인 여행(가족 외),3,2.0,1.0,1,11,28
e011582,41,여,40,6,2,4,2,1,6.0,2,2,42,42830,45,45790,41,41820,3,경기도,경기,자녀 동반 여행,3,0.0,0.0,2,41,41
e003314,41,남,30,6,1,1,3,5,7.0,1,1,11,11440,42,42150,41,41450,2,경기도,서울,2인 여행(가족 외),3,6.0,1.0,1,41,11
e004228,11,남,30,6,1,1,3,5,7.0,2,3,41,41450,41,41310,41,41820,7,서울특별시,경기,2인 여행(가족 외),3,7.0,1.0,1,11,41
e000938,11,여,40,5,2,4,11,2,6.0,2,1,44,44825,42,42730,41,41550,3,서울특별시,경기,3인 이상 여행(가족 외),8,1.0,3.0,3,11,41
e005446,11,남,30,6,1,1,2,5,7.0,3,7,50,50130,50,50110,42,42150,3,서울특별시,경기,나홀로 여행,2,6.0,8.0,0,11,41
e010659,41,남,60,5,2,3,3,6,8.0,2,3,41,41390,41,41360,42,42110,4,경기도,경기,2인 여행(가족 외),3,2.0,1.0,1,41,41
e007850,11,여,30,6,1,1,3,5,7.0,2,2,44,44810,44,44270,42,42230,7,서울특별시,경기,2인 여행(가족 외),1,5.0,0.0,1,11,41
e006225,11,여,20,6,1,3,12,2,6.0,3,3,50,50110,50,50130,26,26350,7,서울특별시,인천,2인 여행(가족 외),2,3.0,7.0,1,11,28
e002214,11,여,20,7,1,3,12,2,3.0,3,3,42,42150,26,26350,50,50110,5,서울특별시,경기,2인 여행(가족 외),7,4.0,9.0,1,11,41
e005331,41,여,30,4,1,1,5,2,7.0,3,1,26,26350,26,26710,42,42210,2,경기도,인천,나홀로 여행,1,5.0,2.0,0,41,28
e004961,28,여,30,6,1,4,3,5,10.0,3,2,50,50130,42,42230,44,44270,3,인천광역시,경기,부모 동반 여행,1,2.0,3.0,2,28,41
e004792,41,여,40,7,2,4,2,5,9.0,3,2,11,11140,50,50110,42,42830,2,경기도,서울,자녀 동반 여행,2,1.0,3.0,3,41,11
e009943,11,여,20,5,1,4,12,2,8.0,4,12,26,26350,50,50130,42,42210,4,서울특별시,경기,3인 이상 여행(가족 외),3,6.0,2.0,2,11,41
e008583,11,남,40,4,2,4,4,5,5.0,2,2,41,41800,41,41460,42,42210,5,서울특별시,경기,자녀 동반 여행,1,7.0,3.0,3,11,41
e012194,36,여,30,6,2,4,2,3,5.0,1,2,42,42210,48,48310,50,50110,6,세종특별자치시,경기,2인 여행(가족 외),3,1.0,6.0,1,36,41
e000932,41,여,20,6,1,3,4,4,4.0,2,1,42,42830,50,50110,42,42820,7,서울특별시,경기,부모 동반 여행,3,0.0,0.0,2,11,41
e000947,41,남,30,6,1,3,3,4,7.0,3,2,42,42150,50,50130,41,41830,4,경기도,경기,2인 가족 여행,3,7.0,1.0,1,41,41
e006592,41,남,30,6,1,1,3,4,7.0,2,3,42,42210,46,46130,28,28710,5,경기도,경기,나홀로 여행,1,8.0,2.0,0,41,41
e004381,42,여,20,7,1,1,2,4,7.0,2,2,42,42150,29,29170,11,11170,7,강원도,서울,나홀로 여행,5,2.0,1.0,0,42,11
e007425,41,여,20,4,1,1,4,4,7.0,3,3,50,50130,50,50110,47,47130,5,경기도,경기,2인 여행(가족 외),7,3.0,2.0,1,41,41
e004149,41,여,20,6,1,1,2,6,7.0,3,3,42,42150,46,46870,46,46130,7,경기도,서울,2인 여행(가족 외),1,2.0,3.0,1,41,11
e002414,43,남,20,4,1,1,10,3,7.0,2,1,11,11500,47,47110,50,50110,5,충청북도,서울,나홀로 여행,2,1.0,0.0,0,43,11
e001459,11,남,30,8,1,2,2,5,10.0,2,3,42,42820,42,42210,41,41290,7,서울특별시,경기,2인 여행(가족 외),1,2.0,3.0,1,11,41
e004505,41,여,30,5,1,3,3,4,12.0,2,2,42,42210,26,26710,46,46130,6,경기도,서울,2인 여행(가족 외),9,8.0,3.0,1,41,11
e009738,28,여,20,1,1,3,12,1,3.0,2,4,11,11440,11,11170,11,11680,7,인천광역시,서울,나홀로 여행,1,2.0,4.0,0,28,11
e000935,48,남,60,7,2,5,2,4,7.0,2,2,48,48120,29,29200,46,46150,6,경상남도,경기,3대 동반 여행(친척 포함),3,8.0,7.0,4,48,41
e002110,11,남,30,6,2,2,3,5,9.0,3,6,50,50130,42,42210,46,46130,3,서울특별시,인천,2인 가족 여행,1,3.0,2.0,1,11,28
e004174,11,남,20,4,1,3,12,2,3.0,4,1,41,41820,50,50130,42,42150,7,서울특별시,경기,2인 여행(가족 외),7,1.0,2.0,1,11,41
e001916,27,여,40,5,2,3,4,2,4.0,1,1,31,31170,42,42130,50,50130,5,대구광역시,서울,자녀 동반 여행,9,7.0,3.0,2,27,11
e003791,11,여,20,6,1,1,3,4,7.0,2,1,42,42210,50,50110,26,26710,5,서울특별시,인천,2인 여행(가족 외),1,3.0,2.0,1,11,28
e007394,41,남,20,6,1,4,13,2,8.0,3,6,50,50130,26,26110,42,42150,6,경기도,서울,2인 여행(가족 외),9,1.0,3.0,1,41,11
