TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK
e_e002641,e002641,1;22;26;6;4,2023-06-24,2023-06-26,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,6;1;9
e_e002650,e002650,1;22;24;26,2023-06-11,2023-06-12,대중교통 등,서울 외 수도권 방문/수도권 외 거주/40세 이상/자녀동반/일반미션,22;26;1
e_e002662,e002662,1;22,2023-07-01,2023-07-02,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,26;1;22
e_e002673,e002673,10;2;21;5,2023-06-17,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;21;6
e_e002677,e002677,1;22;23;26,2023-06-10,2023-06-12,자가용,서울 방문/수도권 거주/39세 이하/부부/일반미션,23;1;22
e_e002681,e002681,1;12;3;5;6,2023-06-24,2023-06-26,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,1;3;13
e_e002683,e002683,21;22;24;26;5,2023-06-25,2023-06-27,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,5;21;22
e_e002684,e002684,1;11;22;6,2023-07-08,2023-07-09,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,11;1;24
e_e002697,e002697,1;22;7,2023-06-10,2023-06-12,자가용,서울 방문/거주지 구분 없음/39세 이하/특별미션,1;22;6
e_e002699,e002699,2;21;22;26,2023-06-25,2023-06-26,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,21;22;2
e_e002705,e002705,21;22;26;5,2023-06-17,2023-06-18,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,1;22;21
e_e002719,e002719,10;2;4;5,2023-06-10,2023-06-11,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;10;24
e_e002721,e002721,1;26;6,2023-06-23,2023-06-24,자가용,서울 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,6;1;26
e_e002728,e002728,2;21;22;26;5,2023-06-24,2023-06-26,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/부부/일반미션,2;21;22
e_e002736,e002736,1;21;4;6,2023-06-17,2023-06-18,대중교통 등,서울 방문/수도권 외 거주/40세 이상/부부/일반미션,6;1;4
e_e002737,e002737,13;6,2023-06-14,2023-06-15,자가용,서울 방문/수도권 거주/40세 이상/커플/일반미션,13;6;4
e_e002739,e002739,1;26;3;6,2023-07-01,2023-07-02,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,3;26;1
e_e002740,e002740,1;23;4;5,2023-06-17,2023-06-19,자가용,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션,1;23;5
e_e002742,e002742,21;24;27;3;6,2023-06-15,2023-06-16,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,1;3;21
e_e002745,e002745,1;21;22;26;7,2023-07-01,2023-07-03,대중교통 등,서울 방문/수도권 외 거주/39세 이하/3인 이상 친구/일반미션,22;21;6
e_e002746,e002746,1;4;22;26,2023-06-17,2023-06-19,대중교통 등,서울 외 수도권 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,26;4;22
e_e002747,e002747,3;22;26;27;28;21;12;11,2023-06-16,2023-06-18,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,3;4;7
e_e002753,e002753,11;2;23;6;7,2023-06-10,2023-06-12,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,6;11;23
e_e002754,e002754,22;26;4;6,2023-06-29,2023-07-01,자가용,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,6;23;22
e_e002755,e002755,1;3;4;6;22,2023-06-17,2023-06-18,대중교통 등,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,3;22;1
e_e002756,e002756,10;2;22;26,2023-06-16,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,22;26;2
e_e002759,e002759,1,2023-06-10,2023-06-11,대중교통 등,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,1;22;21
e_e002760,e002760,11;2;22;24,2023-06-10,2023-06-11,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,24;22;11
e_e002763,e002763,23;24,2023-07-01,2023-07-03,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,1;23;24
e_e002764,e002764,2;22;25;26;28,2023-06-25,2023-06-26,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,25;26;28
e_e002767,e002767,1;21;22;27,2023-06-17,2023-06-19,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션,22;2;21
e_e002770,e002770,1;23,2023-07-01,2023-07-03,자가용,서울 방문/거주지 구분 없음/39세 이하/특별미션,23;24;1
e_e002773,e002773,1;2;3;4;5,2023-06-17,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,13;24;21
e_e002775,e002775,2;27;28,2023-06-24,2023-06-25,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,21;6;27
e_e002782,e002782,21;22;24;8,2023-07-08,2023-07-10,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,8;22;11
e_e002784,e002784,1;27;3;24;22;21;6,2023-06-23,2023-06-25,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;3;4
e_e002786,e002786,2;26,2023-06-10,2023-06-11,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;3;11
e_e002793,e002793,10;3,2023-06-13,2023-06-14,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,10;3;1
e_e002800,e002800,2;22;23;24;26,2023-06-10,2023-06-12,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/3대 동반 여행/일반미션,2;22;24
e_e002812,e002812,1;22;4,2023-06-10,2023-06-12,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,24;21;6
e_e002915,e002915,25,2023-06-18,2023-06-20,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,25;1;22
e_e002916,e002916,22;6,2023-07-08,2023-07-10,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;22;4
e_e002922,e002922,1;22;24;26;4,2023-06-17,2023-06-18,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;6;24
e_e002923,e002923,22;8,2023-06-25,2023-06-27,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,8;5;22
e_e002925,e002925,2;21;6,2023-06-10,2023-06-11,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,4;3;21
e_e002928,e002928,12;21;22;28;3,2023-06-10,2023-06-12,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,22;3;13
e_e002931,e002931,25;28,2023-06-11,2023-06-12,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,3;28;21
e_e002932,e002932,1;21;22;24;26,2023-06-17,2023-06-18,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,1;4;26
e_e002935,e002935,23;22;2,2023-06-17,2023-06-19,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;23;22
e_e002937,e002937,21;22;23;26,2023-06-10,2023-06-12,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,11;22;23
e_e002938,e002938,1;22;26,2023-06-12,2023-06-13,대중교통 등,서울 외 수도권 방문/수도권 외 거주/39세 이하/부부/일반미션,1;21;22
e_e002939,e002939,22,2023-06-24,2023-06-26,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,22;24;5
e_e002940,e002940,2;22;24;27;5,2023-07-08,2023-07-10,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,5;24;21
e_e002949,e002949,5,2023-06-24,2023-06-25,대중교통 등,서울 방문/수도권 거주/40세 이상/부부/일반미션,5;4;22
e_e002957,e002957,1;4;8,2023-06-17,2023-06-19,자가용,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,1;4;8
e_e002958,e002958,22;26;27;4;5,2023-06-17,2023-06-19,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,5;27;22
e_e002965,e002965,1;3;22,2023-06-17,2023-06-19,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,3;1;22
e_e002972,e002972,1;22;6,2023-06-24,2023-06-25,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;1;22
e_e002973,e002973,22;27;8,2023-06-23,2023-06-25,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,3;8;22
e_e002976,e002976,1;23;3;6,2023-07-07,2023-07-09,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;23;3
e_e002980,e002980,27,2023-06-24,2023-06-26,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;27;1
e_e002981,e002981,21;22;24;26,2023-06-15,2023-06-16,대중교통 등,경기 방문/거주지 구분 없음/40세 이상/특별미션,24;26;22
e_e002984,e002984,5;6;22;24,2023-06-18,2023-06-19,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;28;24
e_e002985,e002985,1;22;24;5;6,2023-06-18,2023-06-19,자가용,서울 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,13;6;22
e_e002986,e002986,1;2;24;6;9,2023-06-17,2023-06-19,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;22;6
e_e002987,e002987,1;22;24;26,2023-06-16,2023-06-17,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,3;24;28
