TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK,TRAVEL_PURPOSE_22,TRAVEL_PURPOSE_1,TRAVEL_PURPOSE_6,TRAVEL_PURPOSE_4,TRAVEL_PURPOSE_2,TRAVEL_PURPOSE_26,TRAVEL_PURPOSE_21,TRAVEL_PURPOSE_24,TRAVEL_PURPOSE_3,TRAVEL_PURPOSE_5,TRAVEL_PURPOSE_OTHER,TRAVEL_PURPOSE_COUNT,TRAVEL_MISSION_CHECK_22,TRAVEL_MISSION_CHECK_1,TRAVEL_MISSION_CHECK_6,TRAVEL_MISSION_CHECK_2,TRAVEL_MISSION_CHECK_21,TRAVEL_MISSION_CHECK_4,TRAVEL_MISSION_CHECK_24,TRAVEL_MISSION_CHECK_3,TRAVEL_MISSION_CHECK_26,TRAVEL_MISSION_CHECK_5,TRAVEL_MISSION_CHECK_OTHER,TRAVEL_MISSION_CHECK_COUNT,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e_e004510,E03,e004510,6;2;5;4;9;6;21;23;26;12;11;10,2023-07-29,2023-07-31,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;4;2,0,0,1,1,1,1,1,0,0,1,1,12,0,1,0,1,0,1,0,0,0,0,0,3,910500,19,13,15,5,166685,1,1,3.6666666666666665,3.6666666666666665,3.6666666666666665,3,9,0.4444444444444444,46,여,30,6,2,2,3,4,6.0,2,2,26,26710,42,42820,29,29200,1,1,1,4,4,1,3,1,전라남도,경기,2인 여행(가족 외),2023-07-15~2023-07-16,7,1.0,3.0,1
e_e004511,E03,e004511,2;22;27;28;3,2023-07-20,2023-07-21,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;13;24,1,0,0,0,1,0,0,0,1,0,1,5,0,0,0,1,0,0,1,0,0,0,1,3,61700,6,6,14,6,0,0,0,4.5,4.166666666666667,4.166666666666667,2,6,0.0,11,여,20,6,1,4,2,6,10.0,2,2,41,41110,41,41360,50,50110,3,5,2,6,3,2,2,7,서울특별시,경기,2인 여행(가족 외),2023-07-20~2023-07-20,7,5.0,3.0,1
e_e004515,E03,e004515,1;2;23;3;4,2023-07-02,2023-07-03,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;1;23,0,1,0,1,1,0,0,0,1,0,1,5,0,1,0,1,0,0,0,0,0,0,1,3,47300,3,3,8,5,20000,1,1,3.8,3.8,3.8,2,5,0.4,11,남,20,6,1,3,3,4,9.0,2,1,50,50110,45,45110,43,43800,2,6,2,5,3,2,3,5,서울특별시,경기,2인 여행(가족 외),2023-07-02~2023-07-02,1,2.0,3.0,1
e_e004520,E03,e004520,27;9,2023-07-21,2023-07-22,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;22;24,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,3,72800,2,2,2,1,0,0,0,5.0,5.0,5.0,2,2,0.5,41,여,40,6,2,2,3,4,4.0,2,1,50,50110,26,26350,41,41290,1,4,1,2,1,2,4,5,경기도,경기,3인 이상 여행(가족 외),2023-07-21~2023-07-21,2,0.0,0.0,3
e_e004525,E03,e004525,12;27;6,2023-07-09,2023-07-10,자가용,경기 방문/거주지 구분 없음/40세 이상/특별미션,3;21;24,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,3,40000,3,3,7,4,0,0,0,5.0,5.0,5.0,2,4,0.0,41,남,40,6,2,4,3,6,8.0,2,2,41,41650,42,42150,44,44790,1,4,2,3,2,2,2,6,경기도,경기,2인 가족 여행,2023-07-09~2023-07-09,6,2.0,3.0,1
e_e004547,E03,e004547,3;2;4;6;11;26;27,2023-07-08,2023-07-09,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;3;6,0,0,1,1,1,1,0,0,1,0,1,7,0,0,1,1,0,0,0,1,0,0,0,3,118000,5,4,7,3,0,0,0,5.0,5.0,4.666666666666667,2,3,0.6666666666666666,11,남,30,6,2,4,7,6,6.0,2,6,42,42210,48,48250,48,48120,2,2,1,1,4,3,6,5,서울특별시,경기,자녀 동반 여행,2023-07-08~2023-07-08,1,3.0,8.0,3
e_e004548,E01,e004548,6;4;5;22,2023-07-08,2023-07-10,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,6;4;22,1,0,1,1,0,0,0,0,0,1,0,4,1,0,1,0,0,1,0,0,0,0,0,3,52800,4,3,26,6,20000,1,1,4.428571428571429,4.214285714285714,4.071428571428571,3,14,0.8571428571428571,27,남,30,6,1,3,2,3,4.0,2,1,50,50110,11,11440,47,47110,2,2,2,7,6,6,6,5,대구광역시,서울,나홀로 여행,2023-07-08~2023-07-09,8,1.0,4.0,0
e_e004549,E03,e004549,10;2;21;23;24,2023-07-22,2023-07-24,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,3;21;23,0,0,0,0,1,0,1,1,0,0,1,5,0,0,0,0,1,0,0,1,0,0,1,3,133900,4,4,12,4,172562,1,1,4.625,4.25,4.5,3,8,0.0,28,여,40,6,2,4,2,11,12.0,3,2,41,41360,42,42830,50,50110,4,2,1,3,1,2,1,6,인천광역시,경기,자녀 동반 여행,2023-07-08~2023-07-09,1,2.0,7.0,3
e_e004551,E01,e004551,1;12;3;4;6,2023-07-03,2023-07-05,대중교통 등,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,1;6;22,0,1,1,1,0,0,0,0,1,0,1,5,1,1,1,0,0,0,0,0,0,0,0,3,174200,8,7,24,6,126100,1,1,4.444444444444445,4.333333333333333,4.444444444444445,3,18,0.3888888888888889,26,여,30,6,1,3,3,4,9.0,2,1,47,47130,11,11680,11,11230,7,1,5,4,4,4,2,6,부산광역시,서울,2인 여행(가족 외),2023-07-03~2023-07-04,2,1.0,5.0,1
e_e004552,E03,e004552,1;8;21;22;23;25,2023-07-07,2023-07-09,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션,25;22;8,1,1,0,0,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1,3,189600,5,5,14,3,264000,1,1,3.857142857142857,3.857142857142857,3.571428571428572,3,7,0.2857142857142857,28,여,20,6,1,4,13,4,8.0,2,1,28,28110,41,41820,47,47130,3,3,3,4,4,3,4,6,인천광역시,경기,부모 동반 여행,2023-07-07~2023-07-08,3,0.0,0.0,3
