TRAVEL_ID,TRAVELER_ID,TRAVEL_NM,TRAVEL_PURPOSE,TRAVEL_PERSONA,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_STATUS_YMD,TRAVEL_MISSION_CHECK,TRAVEL_STATUS_ACCOMPANY,MVMN_NM,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,activity_payment_sum,activity_payment_count,activity_store_count,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,TRAVEL_DURATION_DAYS,TRAVEL_STATUS_LAG_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,VISIT_RATE_PERCENT,HAS_TRAVEL_MISSION,MISSION_CODE_COUNT_MANUAL,PRIMARY_TRAVEL_MISSION,IS_FAILED_TRIP,TRIP_DAYS,MOVE_CNT,TRIP_DGSTFN_AVG,TRIP_REVISIT_AVG,TRIP_RCMDTN_AVG,MISSION_CODE_COUNT,MISSION_CD_1,MISSION_CD_2,MISSION_CD_21,MISSION_CD_22,MISSION_CD_6,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5
e_e007773,e007773,E03,21;4,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-20,2023-08-21,,21;26;1,자녀 동반 여행,,여,40,7,8.0,2,1,3,150300,3,3,4,0,0,0,4.5,4.0,4.0,2,2,0.5,1,,2023,8,50.0,1,3,21,1,1,2,4.5,4.0,4.0,3,1,0,1,0,0,2,1,0,1,1
e_e007775,e007775,E01,4;11;1,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2023-08-27,2023-08-28,,1;3;11,나홀로 여행,,여,30,4,6.0,3,5,0,44700,2,2,5,0,0,0,4.0,3.8333333333333335,4.0,2,6,0.8333333333333334,1,,2023,8,83.33,1,3,1,0,1,6,4.0,3.83,4.0,3,1,0,0,0,0,1,2,0,0,1
e_e007778,e007778,E01,2;4;6,서울 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-26,2023-08-27,,4;1;2,2인 여행(가족 외),,남,30,5,8.0,3,3,1,125500,4,4,5,0,0,0,4.333333333333333,4.0,3.6666666666666665,2,6,0.6666666666666666,1,,2023,8,66.67,1,3,4,1,1,6,4.33,4.0,3.67,3,1,1,0,0,0,3,1,0,1,4
e_e007779,e007779,E03,1;10;11;22,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-30,2023-08-31,,1;11;21,나홀로 여행,,여,20,4,7.0,2,1,0,76240,4,4,3,0,0,0,4.6,4.2,4.0,2,5,0.4,1,,2023,8,40.0,1,3,1,0,1,5,4.6,4.2,4.0,3,1,0,1,0,0,2,2,1,0,0
e_e007781,e007781,E03,2;4;6,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2023-08-20,2023-08-21,,2;6;1,자녀 동반 여행,,여,30,2,6.0,2,3,2,102160,3,3,3,0,0,0,4.666666666666667,4.333333333333333,4.666666666666667,2,3,0.6666666666666666,1,,2023,8,66.67,1,3,2,0,1,3,4.67,4.33,4.67,3,1,1,0,0,1,2,1,1,0,0
e_e007783,e007783,E03,2,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-26,2023-08-27,,1;4;24,2인 여행(가족 외),,남,30,4,5.0,3,3,1,84800,2,2,2,0,0,0,4.0,3.0,3.5,2,2,0.0,1,,2023,8,0.0,1,3,1,1,1,2,4.0,3.0,3.5,3,1,0,0,0,0,1,1,0,0,0
e_e007788,e007788,E03,10;21;22;4;5,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-27,2023-08-28,,10;2;1,자녀 동반 여행,,남,40,11,11.0,2,3,2,7521300,3,2,3,0,0,0,4.0,4.0,4.0,2,2,0.5,1,,2023,8,50.0,1,3,10,0,1,2,4.0,4.0,4.0,3,1,1,0,0,0,1,1,1,0,0
e_e007789,e007789,E03,2;4,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2023-08-26,2023-08-27,,2;11;6,자녀 동반 여행,,여,30,4,7.0,1,1,3,100400,3,3,2,0,0,0,4.0,5.0,4.0,2,2,1.0,1,,2023,8,100.0,1,3,2,0,1,2,4.0,5.0,4.0,3,0,1,0,0,1,1,0,1,0,0
e_e007791,e007791,E02,24;28;6,인천 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-26,2023-08-27,,24;12;28,2인 가족 여행,,여,30,5,5.0,4,1,1,78200,4,4,3,0,0,0,4.8,4.4,4.4,2,5,0.2,1,,2023,8,20.0,1,3,24,0,1,5,4.8,4.4,4.4,3,0,0,0,0,0,2,2,0,2,0
e_e007792,e007792,E02,3;6,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2023-08-26,2023-08-27,,3;24;9,2인 가족 여행,,여,60,4,8.0,2,2,1,175400,3,3,4,0,0,0,4.25,4.25,4.125,2,8,0.125,1,,2023,8,12.5,1,3,3,0,1,8,4.25,4.25,4.12,3,0,0,0,0,0,3,0,0,3,2
e_e007793,e007793,E03,2;22;27;4,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-19,2023-08-20,,26;24;27,2인 여행(가족 외),,남,20,4,10.0,4,4,1,112000,3,3,5,0,0,0,4.0,4.666666666666667,4.833333333333333,2,6,0.0,1,,2023,8,0.0,1,3,26,0,1,6,4.0,4.67,4.83,3,0,0,0,0,0,3,0,1,3,1
e_e007794,e007794,E03,22;4;6,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-20,2023-08-21,,11;9;22,자녀 동반 여행,,여,40,4,7.0,2,1,3,78100,2,2,3,0,0,0,4.5,4.5,4.25,2,4,0.5,1,,2023,8,50.0,1,3,11,0,1,4,4.5,4.5,4.25,3,0,0,0,1,0,2,1,1,0,0
