TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM
a002001,11,2,20,6,1.0,4,정보없음,1,7.0,1,1,2,2,1,5,3,3,2,7,서울특별시,경기,나홀로 여행,1,0
a005600,44,2,30,5,2.0,2,2.0,3,6.0,3,5,2,1,6,7,2,6,7,2,충청남도,경기,2인 여행(가족 외),10,1
a006518,11,2,20,6,1.0,1,2.0,4,7.0,3,4,5,5,5,3,5,3,6,6,서울특별시,경기,나홀로 여행,1,0
a008034,11,2,20,6,1.0,4,3.0,4,9.0,3,2,1,3,1,4,5,1,2,7,서울특별시,경기,2인 여행(가족 외),3,1
a007222,41,2,20,6,1.0,4,12.0,3,12.0,3,6,4,2,1,1,6,2,6,6,경기도,서울,2인 여행(가족 외),3,1
a002166,26,1,30,4,1.0,1,1.0,4,7.0,2,1,2,1,2,1,5,5,6,6,부산광역시,서울,2인 여행(가족 외),3,1
a003818,29,1,20,6,1.0,1,3.0,6,7.0,2,1,4,1,2,2,3,5,2,5,광주광역시,경기,나홀로 여행,2,0
a001615,41,2,30,6,1.0,3,2.0,3,6.0,3,2,3,4,3,2,5,3,5,4,경기도,서울,나홀로 여행,7,0
a010406,11,1,60,7,3.0,2,13.0,5,7.0,2,1,2,2,2,2,2,2,6,2,서울특별시,경기,나홀로 여행,1,0
a006949,11,2,30,6,2.0,5,3.0,8,8.0,2,2,5,6,3,3,6,3,2,6,서울특별시,경기,자녀 동반 여행,8,3
a017942,11,1,40,6,2.0,3,2.0,10,12.0,2,3,1,1,1,1,6,1,1,7,서울특별시,경기,3인 이상 여행(가족 외),3,3
a018188,41,2,20,6,1.0,5,3.0,4,9.0,2,1,3,1,1,4,6,4,3,7,경기도,서울,2인 여행(가족 외),3,1
a004324,11,2,30,8,1.0,1,12.0,3,7.0,2,1,4,7,3,4,1,3,4,2,서울특별시,인천,나홀로 여행,2,0
a007456,28,1,20,5,1.0,3,3.0,4,6.0,2,5,7,1,2,1,5,4,1,4,인천광역시,경기,2인 여행(가족 외),2,1
a007309,11,2,40,7,1.0,1,2.0,5,7.0,3,2,2,2,4,2,2,6,2,2,서울특별시,경기,2인 여행(가족 외),1,1
a008562,11,1,30,5,2.0,3,3.0,4,6.0,2,2,1,7,1,1,1,1,1,1,서울특별시,경기,자녀 동반 여행,1,2
b002868,11,2,30,6,1.0,1,3.0,5,7.0,2,1,3,3,3,5,5,3,5,4,서울특별시,경기,나홀로 여행,2,0
