TRAVEL_ID,TRAVELER_ID,TRAVEL_LENGTH
a_a009629,a009629,3
a_a001187,a001187,3
a_a007219,a007219,2
a_a000573,a000573,3
a_a002726,a002726,2
a_a000655,a000655,4
a_a014171,a014171,2
a_a006725,a006725,2
a_a001500,a001500,3
a_a006020,a006020,2
a_a006638,a006638,2
a_a006254,a006254,3
a_a002830,a002830,3
a_a002239,a002239,3
a_a003135,a003135,3
a_a009427,a009427,2
a_a017942,a017942,2
a_a003449,a003449,4
a_a001283,a001283,3
a_a003822,a003822,2
a_a007415,a007415,2
a_a002037,a002037,3
a_a005258,a005258,3
a_a003965,a003965,2
a_a009595,a009595,2
a_a002270,a002270,2
a_a003994,a003994,3
a_a007936,a007936,2
a_a004171,a004171,3
a_a018220,a018220,2
a_a003692,a003692,4
a_a012482,a012482,3
a_a002604,a002604,4
b_b013622,b013622,2
a_a001702,a001702,3
a_a017555,a017555,2
a_a007414,a007414,2
a_a000104,a000104,4
a_a001296,a001296,3
a_a011113,a011113,2
a_a003345,a003345,3
a_a014032,a014032,2
a_a017667,a017667,2
a_a013785,a013785,2
a_a015114,a015114,2
a_a000124,a000124,5
a_a001447,a001447,2
a_a005969,a005969,2
a_a002209,a002209,3
a_a004771,a004771,2
a_a002668,a002668,2
a_a007192,a007192,2
a_a003309,a003309,2
a_a014374,a014374,2
a_a011873,a011873,2
a_a007603,a007603,2
a_a007267,a007267,2
a_a003144,a003144,3
a_a008052,a008052,2
a_a001736,a001736,2
a_a017889,a017889,2
a_a000797,a000797,2
a_a004637,a004637,2
a_a004915,a004915,2
a_a001492,a001492,4
a_a009822,a009822,3
a_a000898,a000898,4
a_a003370,a003370,4
a_a006463,a006463,2
a_a014518,a014518,2
a_a008580,a008580,4
b_b012272,b012272,3
a_a007144,a007144,2
a_a010137,a010137,2
a_a006575,a006575,2
a_a017871,a017871,2
a_a008115,a008115,3
a_a018155,a018155,2
a_a017959,a017959,2
a_a008616,a008616,4
a_a004611,a004611,3
a_a004227,a004227,3
a_a007929,a007929,2
a_a009775,a009775,2
a_a000260,a000260,4
a_a014409,a014409,2
a_a005215,a005215,3
a_a007378,a007378,2
a_a008446,a008446,3
a_a001805,a001805,3
a_a002378,a002378,5
a_a006001,a006001,2
a_a006545,a006545,2
a_a002758,a002758,3
a_a014894,a014894,2
a_a005644,a005644,2
a_a004970,a004970,2
a_a002019,a002019,3
a_a004288,a004288,2
a_a000605,a000605,4
a_a017822,a017822,2
a_a018225,a018225,2
a_a002530,a002530,3
a_a007727,a007727,2
a_a001931,a001931,4
a_a005190,a005190,2
a_a000975,a000975,4
a_a000788,a000788,4
b_b004636,b004636,2
a_a004071,a004071,4
a_a003399,a003399,4
a_a007418,a007418,2
a_a004501,a004501,4
a_a003949,a003949,2
a_a017805,a017805,2
a_a007928,a007928,2
a_a017812,a017812,2
a_a006632,a006632,2
a_a011091,a011091,2
a_a005176,a005176,2
a_a004868,a004868,3
a_a001316,a001316,5
a_a007240,a007240,2
a_a007106,a007106,2
a_a006985,a006985,2
a_a011541,a011541,2
a_a010436,a010436,2
a_a009760,a009760,3
a_a005701,a005701,3
a_a000181,a000181,3
a_a002034,a002034,2
c_c008854,c008854,2
a_a002105,a002105,3
a_a008018,a008018,2
a_a014715,a014715,2
a_a001657,a001657,3
a_a000265,a000265,4
b_b009669,b009669,2
a_a007234,a007234,2
a_a017939,a017939,2
b_b012022,b012022,3
a_a014619,a014619,3
a_a013865,a013865,3
a_a010202,a010202,2
a_a005366,a005366,2
a_a000789,a000789,3
a_a018236,a018236,2
a_a008116,a008116,3
a_a003435,a003435,2
a_a006448,a006448,2
a_a014214,a014214,2
a_a000901,a000901,4
a_a002468,a002468,3
a_a002167,a002167,3
a_a017689,a017689,2
a_a017926,a017926,2
a_a006143,a006143,2
a_a006837,a006837,2
a_a003621,a003621,4
a_a003445,a003445,3
a_a001573,a001573,3
a_a006989,a006989,2
a_a003798,a003798,4
a_a018217,a018217,2
a_a002011,a002011,3
a_a004780,a004780,3
a_a012102,a012102,3
a_a005059,a005059,2
a_a001271,a001271,3
a_a000369,a000369,3
a_a001778,a001778,3
a_a005493,a005493,2
a_a004788,a004788,3
a_a003803,a003803,4
a_a015340,a015340,2
a_a017661,a017661,2
a_a007655,a007655,2
a_a005619,a005619,2
a_a001070,a001070,3
a_a003117,a003117,3
a_a003510,a003510,2
a_a008721,a008721,3
a_a004279,a004279,2
a_a006965,a006965,2
a_a002008,a002008,5
b_b011059,b011059,2
a_a006808,a006808,2
a_a018096,a018096,2
a_a013936,a013936,2
