AGE_GRP,FAMILY_MEMB,TRAVEL_COMPANIONS_NUM,TRAVEL_TERM,TRAVEL_NUM,companions_per_family,lodging_payment_sum,lodging_payment_count,lodging_store_count,TRAVEL_STATUS_ACCOMPANY_CODE,visit_move_cnt,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,activity_per_day,spending_per_day,activity_to_lodging_ratio,MVMN_NM_CODE,IS_FAILED_TRIP
30.0,1.0,0.0,3.0,4.0,0.0,119000,0,0,6,27.0,24000,2,2,30,6,0.6666666666666666,47666.66666666666,0.2016789774875841,1,1.0
40.0,2.0,1.0,1.0,1.0,0.5,30000,1,1,1,6.0,19000,1,0,8,4,0.5,24500.0,0.6333122229259025,2,1.0
50.0,3.0,2.0,3.0,14.0,0.6666666666666666,16500,1,1,8,10.0,23000,2,2,16,5,0.6666666666666666,13166.666666666666,1.3938549178837647,2,0.0
60.0,2.0,1.0,3.0,4.0,0.5,119000,0,0,1,6.0,36600,3,3,7,5,1.5,77800.0,0.3075604406685658,1,1.0
30.0,1.0,0.0,3.0,3.0,0.0,119000,0,0,6,6.0,87800,3,3,8,5,1.5,103400.0,0.7378089259754119,2,0.0
50.0,4.0,1.0,2.0,1.0,0.25,119000,0,0,1,5.0,79000,6,5,8,5,6.0,198000.0,0.6638599675632978,2,0.0
30.0,4.0,1.0,2.0,1.0,0.25,119000,0,0,1,7.0,71260,8,7,19,5,2.6666666666666665,63420.0,0.5988184973235519,1,0.0
20.0,1.0,3.0,4.0,4.0,3.0,119000,0,0,5,13.0,262000,6,6,13,4,3.0,190500.0,2.201662170906127,3,0.0
30.0,1.0,1.0,2.0,1.0,1.0,119000,0,0,2,11.0,285000,5,4,18,7,5.0,404000.0,2.3949378576650617,3,1.0
20.0,4.0,1.0,2.0,1.0,0.25,119000,0,0,2,4.0,73700,3,3,4,2,1.5,96350.0,0.6193225267014563,2,1.0
30.0,3.0,2.0,2.0,1.0,0.6666666666666666,119000,0,0,5,4.0,50000,1,1,4,3,0.5,84500.0,0.4201645364324669,2,1.0
40.0,1.0,0.0,2.0,2.0,0.0,119000,0,0,6,9.0,47000,3,3,9,4,3.0,166000.0,0.3949546642465189,1,0.0
50.0,4.0,3.0,2.0,1.0,0.75,91300,1,1,3,7.0,78600,5,4,9,5,1.6666666666666667,56633.333333333336,0.8608887087764646,1,0.0
60.0,2.0,1.0,3.0,6.0,0.5,119000,0,0,1,5.0,61000,2,1,3,2,2.0,180000.0,0.5126007344476097,1,0.0
30.0,2.0,0.0,3.0,2.0,0.0,119000,0,0,6,6.0,73000,2,2,9,5,1.0,96000.0,0.6134402231914018,1,0.0
20.0,1.0,1.0,2.0,1.0,1.0,119000,0,0,2,5.0,101060,3,3,6,3,1.5,110030.0,0.8492365610373022,2,0.0
30.0,2.0,1.0,2.0,2.0,0.5,130000,1,1,2,5.0,43900,3,3,7,4,1.0,57966.66666666666,0.3376897100791532,2,0.0
30.0,1.0,1.0,2.0,2.0,1.0,0,1,1,2,17.0,731300,5,4,21,6,1.0,146260.0,731300.0,2,0.0
30.0,2.0,1.0,2.0,1.0,0.5,119000,0,0,1,9.0,67490,7,6,13,6,2.333333333333333,62163.333333333336,0.5671380912765439,2,0.0
30.0,4.0,6.0,2.0,2.0,1.5,60000,1,1,5,7.0,63900,3,3,10,5,1.0,41300.0,1.0649822502958284,2,0.0
60.0,3.0,2.0,3.0,1.0,0.6666666666666666,119000,0,0,8,3.0,52100,3,3,9,5,3.0,171100.0,0.4378114469626306,2,0.0
20.0,3.0,2.0,3.0,2.0,0.6666666666666666,245000,1,1,5,5.0,84000,0,0,6,4,0.0,109666.66666666669,0.3428557434459451,2,0.0
30.0,2.0,1.0,2.0,1.0,0.5,119000,0,0,2,9.0,109000,4,3,7,5,2.0,114000.0,0.915958689422778,1,1.0
30.0,4.0,1.0,3.0,2.0,0.25,119000,0,0,2,6.0,46130,2,2,7,3,0.5,41282.5,0.387643801312594,2,1.0
20.0,5.0,0.0,3.0,2.0,0.0,119000,0,0,2,5.0,9100,2,2,5,3,1.0,64050.0,0.0764699456307089,3,0.0
50.0,3.0,2.0,2.0,1.0,0.6666666666666666,62179,1,1,5,4.0,89300,3,3,3,3,1.5,75739.5,1.4361531038919266,3,0.0
50.0,4.0,1.0,2.0,2.0,0.25,119000,0,0,2,5.0,32000,1,1,3,3,0.5,75500.0,0.2689053033167788,2,1.0
20.0,1.0,2.0,3.0,2.0,2.0,119000,0,0,6,15.0,55200,6,5,15,5,2.0,58066.66666666666,0.4638616482214435,1,0.0
50.0,1.0,0.0,3.0,1.0,0.0,40000,1,1,6,12.0,32400,3,3,13,5,0.75,18100.0,0.8099797505062374,1,0.0
30.0,3.0,2.0,2.0,4.0,0.6666666666666666,119000,0,0,3,2.0,53000,3,1,1,1,3.0,172000.0,0.445374408618415,1,1.0
30.0,1.0,0.0,1.0,5.0,0.0,119000,0,0,6,10.0,87420,7,7,4,3,3.5,103210.0,0.7346156754985252,2,0.0
40.0,4.0,0.0,3.0,5.0,0.0,119000,0,0,6,7.0,42100,5,5,13,5,5.0,161100.0,0.3537785396761371,2,0.0
30.0,1.0,1.0,3.0,16.0,1.0,119000,0,0,6,12.0,166100,10,10,17,6,2.0,57020.0,1.3957865900286552,2,0.0
20.0,4.0,1.0,3.0,1.0,0.25,119000,0,0,2,5.0,116500,5,4,5,4,5.0,235500.0,0.978983369887648,1,0.0
30.0,2.0,3.0,3.0,4.0,1.5,119000,0,0,7,3.0,48000,2,1,2,2,1.0,83500.0,0.4033579549751683,2,0.0
30.0,3.0,0.0,3.0,6.0,0.0,54000,1,1,6,8.0,16100,3,2,12,4,1.0,23366.666666666668,0.2981426269883891,1,0.0
40.0,4.0,4.0,2.0,1.0,1.0,119000,0,0,5,5.0,12500,1,1,8,4,0.3333333333333333,43833.333333333336,0.1050411341081167,2,0.0
30.0,4.0,0.0,3.0,5.0,0.0,119000,0,0,6,10.0,47400,4,4,8,3,2.0,83200.0,0.3983159805379787,1,0.0
40.0,4.0,3.0,3.0,10.0,0.75,90000,1,1,8,7.0,76500,4,4,10,5,1.3333333333333333,55500.0,0.8499905556604926,2,0.0
40.0,3.0,1.0,2.0,1.0,0.3333333333333333,119000,0,0,2,6.0,21900,2,1,4,2,1.0,70450.0,0.1840320669574205,3,0.0
30.0,4.0,0.0,3.0,6.0,0.0,119000,0,0,6,5.0,296700,7,7,10,5,3.5,207850.0,2.493256359190259,3,1.0
30.0,3.0,0.0,3.0,5.0,0.0,119000,0,0,6,2.0,103500,2,2,5,4,2.0,222500.0,0.8697405904152066,1,0.0
40.0,4.0,3.0,2.0,1.0,0.75,119000,0,0,8,8.0,169000,1,1,4,3,0.3333333333333333,96000.0,1.4201561331417385,2,1.0
30.0,2.0,1.0,2.0,1.0,0.5,119000,0,0,2,7.0,98500,5,5,8,5,2.5,108750.0,0.8277241367719599,3,0.0
20.0,1.0,1.0,2.0,2.0,1.0,119000,0,0,2,9.0,588200,5,5,7,4,2.5,353600.0,4.942815606591541,3,0.0
30.0,1.0,1.0,3.0,5.0,1.0,119000,0,0,2,8.0,64700,2,2,5,4,1.0,91850.0,0.5436929101436122,3,0.0
20.0,4.0,1.0,2.0,1.0,0.25,119000,0,0,2,7.0,71600,2,2,3,2,1.0,95300.0,0.6016756161712927,2,0.0
20.0,3.0,1.0,3.0,2.0,0.3333333333333333,119000,0,0,5,8.0,43600,2,2,8,4,1.0,81300.0,0.3663834757691112,2,0.0
30.0,4.0,3.0,2.0,1.0,0.75,119000,0,0,3,4.0,15000,2,2,7,6,1.0,67000.0,0.1260493609297401,3,0.0
20.0,1.0,0.0,2.0,1.0,0.0,119000,0,0,6,5.0,21900,4,4,5,3,2.0,70450.0,0.1840320669574205,2,0.0
30.0,3.0,2.0,1.0,1.0,0.6666666666666666,119000,0,0,8,6.0,137480,5,5,8,5,5.0,256480.0,1.1552844093747112,2,0.0
60.0,4.0,2.0,2.0,2.0,0.5,119000,0,0,8,5.0,22100,2,2,4,2,1.0,70550.0,0.1857127251031504,3,0.0
20.0,4.0,1.0,3.0,6.0,0.25,119000,0,0,2,3.0,43000,2,2,4,3,2.0,162000.0,0.3613415013319215,3,1.0
20.0,1.0,0.0,4.0,1.0,0.0,119000,0,0,6,6.0,43800,3,3,10,5,1.5,81400.0,0.368064133914841,1,0.0
30.0,2.0,1.0,3.0,5.0,0.5,119000,0,0,1,2.0,53200,1,1,5,3,0.5,86100.0,0.4470550667641448,2,0.0
40.0,4.0,3.0,2.0,1.0,0.75,119000,0,0,8,5.0,62600,3,3,3,2,1.5,90800.0,0.5260459996134487,3,0.0
30.0,1.0,1.0,2.0,1.0,1.0,140000,1,1,2,5.0,127520,6,4,10,5,2.0,89173.33333333333,0.9108506367811658,2,1.0
30.0,3.0,1.0,2.0,2.0,0.3333333333333333,119000,0,0,2,6.0,55500,3,3,5,2,1.5,87250.0,0.4663826354400383,3,1.0
50.0,3.0,1.0,3.0,4.0,0.3333333333333333,363000,1,1,1,10.0,39200,2,2,8,5,1.0,201100.0,0.1079886832267679,1,0.0
20.0,4.0,4.0,3.0,2.0,1.0,120000,1,1,5,7.0,335560,8,7,9,5,4.0,227780.0,2.796310030749744,2,1.0
30.0,1.0,1.0,2.0,4.0,1.0,119000,0,0,2,5.0,98800,4,4,10,3,4.0,217800.0,0.8302451239905547,2,0.0
50.0,4.0,2.0,2.0,1.0,0.5,119000,0,0,8,4.0,53500,1,1,3,2,0.5,86250.0,0.4495760539827396,2,1.0
30.0,5.0,3.0,2.0,1.0,0.6,119000,0,0,5,6.0,161600,3,3,2,2,1.5,140300.0,1.3579717817497332,1,0.0
20.0,3.0,1.0,3.0,5.0,0.3333333333333333,200000,1,1,6,12.0,101200,6,4,14,6,2.0,100400.0,0.5059974700126499,1,1.0
30.0,1.0,3.0,3.0,3.0,3.0,119000,0,0,5,3.0,101000,3,3,3,2,1.5,110000.0,0.8487323635935833,3,1.0
20.0,3.0,6.0,2.0,2.0,2.0,210000,1,1,8,22.0,794000,13,11,24,5,2.1666666666666665,167333.33333333334,3.780934376502969,1,1.0
30.0,2.0,0.0,2.0,1.0,0.0,109260,1,1,6,14.0,153000,10,10,20,5,3.333333333333333,87420.0,1.4003166729208043,1,0.0
40.0,2.0,0.0,3.0,6.0,0.0,119000,0,0,6,6.0,12000,2,2,4,3,1.0,65500.0,0.100839488743792,1,1.0
40.0,5.0,4.0,2.0,1.0,0.8,119000,0,0,8,6.0,45600,2,2,8,4,1.0,82300.0,0.3831900572264098,3,1.0
60.0,3.0,2.0,2.0,2.0,0.6666666666666666,119000,0,0,8,5.0,49800,1,1,3,2,0.5,84400.0,0.4184838782867371,3,0.0
40.0,3.0,2.0,2.0,1.0,0.6666666666666666,119000,0,0,5,6.0,26500,1,1,7,4,0.5,72750.0,0.2226872043092075,2,0.0
30.0,1.0,2.0,3.0,6.0,2.0,119000,0,0,5,4.0,42000,2,2,4,3,1.0,80500.0,0.3529382106032722,3,1.0
40.0,3.0,0.0,2.0,1.0,0.0,36406,2,2,6,12.0,10000,2,2,13,5,0.6666666666666666,15468.666666666666,0.2746724530996786,1,1.0
30.0,3.0,2.0,2.0,1.0,0.6666666666666666,168785,1,1,6,12.0,173900,6,6,16,5,1.5,85671.25,1.0302987214579409,1,0.0
30.0,1.0,0.0,1.0,1.0,0.0,119000,0,0,6,6.0,12500,1,1,4,3,0.5,65750.0,0.1050411341081167,2,0.0
40.0,3.0,2.0,2.0,3.0,0.6666666666666666,119000,0,0,8,4.0,30000,1,1,2,2,0.5,74500.0,0.2520987218594802,2,0.0
40.0,2.0,0.0,3.0,1.0,0.0,119000,0,0,6,3.0,7500,2,2,7,5,1.0,63250.0,0.06302468046487,1,0.0
30.0,1.0,0.0,3.0,2.0,0.0,75600,1,1,6,28.0,68400,7,7,35,7,1.75,36000.0,0.9047499371701432,1,1.0
30.0,4.0,2.0,2.0,2.0,0.5,119000,0,0,7,5.0,144000,5,3,6,3,2.5,131500.0,1.2100738649255047,2,0.0
40.0,1.0,0.0,2.0,2.0,0.0,119000,0,0,6,3.0,50500,1,1,9,5,1.0,169500.0,0.4243661817967916,1,1.0
30.0,3.0,2.0,3.0,6.0,0.6666666666666666,250000,1,1,8,9.0,98600,3,3,8,4,0.75,87150.0,0.3943984224063104,2,0.0
40.0,3.0,2.0,2.0,2.0,0.6666666666666666,119000,0,0,8,3.0,129400,4,3,5,2,2.0,124200.0,1.0873858202872244,3,0.0
50.0,1.0,1.0,3.0,3.0,1.0,119000,0,0,2,5.0,6700,1,1,4,3,0.5,62850.0,0.0563020478819505,3,0.0
40.0,5.0,3.0,2.0,1.0,0.6,660000,1,1,8,5.0,290140,5,5,13,5,1.6666666666666667,316713.3333333333,0.439605394537281,2,0.0
30.0,4.0,1.0,2.0,3.0,0.25,119000,0,0,6,4.0,84000,0,0,5,4,0.0,101500.0,0.7058764212065445,2,1.0
20.0,4.0,0.0,2.0,1.0,0.0,119000,0,0,6,5.0,7100,1,1,6,3,0.5,63050.0,0.0596633641734103,3,0.0
30.0,1.0,0.0,2.0,1.0,0.0,119000,0,0,6,9.0,84000,0,0,8,4,0.0,101500.0,0.7058764212065445,1,1.0
20.0,4.0,0.0,2.0,1.0,0.0,119000,0,0,6,10.0,64800,5,5,9,3,2.5,91900.0,0.5445332392164772,1,1.0
20.0,5.0,3.0,1.0,1.0,0.6,119000,0,0,5,9.0,84000,0,0,10,5,0.0,50750.0,0.7058764212065445,1,0.0
20.0,2.0,1.0,2.0,1.0,0.5,87000,1,1,2,8.0,103900,5,5,6,3,1.6666666666666667,63633.333333333336,1.194239146676475,1,0.0
20.0,3.0,1.0,2.0,3.0,0.3333333333333333,119000,0,0,2,10.0,35000,3,3,14,5,3.0,154000.0,0.2941151755027268,1,0.0
20.0,3.0,1.0,3.0,10.0,0.3333333333333333,110000,1,1,1,6.0,83200,3,3,5,4,1.0,64400.0,0.7563567603930873,2,0.0
20.0,2.0,3.0,2.0,3.0,1.5,55000,1,1,5,4.0,61940,2,2,3,3,0.6666666666666666,38980.0,1.126161342521045,2,1.0
40.0,5.0,4.0,2.0,3.0,0.8,119000,0,0,8,3.0,271300,7,2,13,3,3.5,195150.0,2.279812774682566,2,0.0
30.0,3.0,2.0,2.0,2.0,0.6666666666666666,119000,0,0,8,3.0,63500,2,2,4,4,1.0,91250.0,0.5336089612692331,3,0.0
30.0,3.0,2.0,3.0,4.0,0.6666666666666666,97000,1,1,8,6.0,44000,5,5,11,5,1.6666666666666667,47000.0,0.4536035710972051,2,1.0
30.0,1.0,1.0,3.0,2.0,1.0,119000,0,0,2,15.0,629200,11,11,14,5,2.75,187050.0,5.287350526466164,1,1.0
30.0,4.0,2.0,2.0,2.0,0.5,119000,0,0,8,3.0,84000,0,0,1,1,0.0,101500.0,0.7058764212065445,2,0.0
30.0,3.0,2.0,3.0,4.0,0.6666666666666666,119000,0,0,8,11.0,12300,1,1,14,5,0.25,32825.0,0.1033604759623868,2,1.0
20.0,1.0,0.0,2.0,1.0,0.0,119000,0,0,6,5.0,335100,4,4,8,5,2.0,227050.0,2.815942723170393,1,0.0
30.0,4.0,0.0,3.0,10.0,0.0,119000,0,0,6,9.0,75100,5,5,5,3,2.5,97050.0,0.6310871337215653,2,0.0
50.0,4.0,3.0,3.0,4.0,0.75,119000,0,0,5,8.0,80200,4,4,8,4,2.0,99600.0,0.673943916437677,1,1.0
40.0,4.0,6.0,3.0,4.0,1.5,240300,1,1,8,17.0,246450,5,5,24,6,1.25,121687.5,1.0255887407875957,1,0.0
30.0,2.0,1.0,3.0,4.0,0.5,119000,0,0,1,7.0,547100,5,5,7,5,1.6666666666666667,222033.3333333333,4.597440357644054,1,0.0
20.0,4.0,2.0,3.0,5.0,0.5,119000,0,0,2,5.0,60300,2,2,5,4,1.0,89650.0,0.5067184309375552,3,1.0
20.0,4.0,1.0,3.0,5.0,0.25,659840,2,2,2,14.0,1066850,11,10,17,5,2.75,431672.5,1.6168289027205038,1,1.0
30.0,3.0,1.0,2.0,1.0,0.3333333333333333,119000,0,0,6,12.0,4646500,10,9,17,5,2.5,1191375.0,39.04589037066916,1,1.0
30.0,4.0,1.0,3.0,4.0,0.25,119000,0,0,2,10.0,65000,2,2,6,3,1.0,92000.0,0.546213897362207,1,0.0
30.0,1.0,0.0,4.0,1.0,0.0,119000,0,0,6,8.0,16100,2,2,8,4,1.0,67550.0,0.1352929807312543,1,0.0
40.0,2.0,3.0,1.0,1.0,1.5,210000,1,1,6,4.0,399000,2,2,4,3,1.0,304500.0,1.899990952424036,2,1.0
30.0,2.0,1.0,1.0,1.0,0.5,119000,0,0,1,4.0,66400,3,3,7,5,1.5,92700.0,0.5579785043823161,2,1.0
20.0,2.0,1.0,2.0,1.0,0.5,130000,2,1,2,13.0,94800,8,7,12,5,2.0,56200.0,0.7292251598064631,2,0.0
20.0,1.0,3.0,2.0,1.0,3.0,119000,0,0,2,13.0,256000,10,9,16,6,3.333333333333333,125000.0,2.151242426534231,1,0.0
20.0,5.0,1.0,2.0,1.0,0.2,130000,2,1,2,13.0,70300,6,6,24,6,1.5,50075.0,0.540765071037915,1,1.0
30.0,1.0,1.0,3.0,5.0,1.0,119000,0,0,2,4.0,74600,4,4,6,3,2.0,96800.0,0.6268854883572407,1,0.0
20.0,1.0,2.0,3.0,4.0,2.0,119000,0,0,5,3.0,84000,0,0,2,2,0.0,203000.0,0.7058764212065445,2,1.0
40.0,1.0,0.0,3.0,3.0,0.0,44180,1,1,6,14.0,99500,6,5,22,7,2.0,47893.333333333336,2.252099318711664,1,0.0
20.0,5.0,1.0,3.0,4.0,0.2,65000,1,1,2,9.0,160300,6,6,7,3,2.0,75100.0,2.46611590590914,1,1.0
