TRAVEL_ID,AGE_GRP,GENDER,MOVE_CNT,MVMN_NM,INCOME,HOUSE_INCOME,LODGING_PAYMENT_SUM,TRIP_DAYS,DGSTFN_AVG,RCMDTN_AVG,REVISIT_AVG,TRAVEL_START_YEAR,TRAVEL_START_MONTH,TRAVEL_START_YMD,TRAVEL_END_YMD,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_HISTORY_ROWS,ACTIVITY_PAYMENT_SUM,ACTIVITY_TYPE_UNIQUE,MISSION_CODE_COUNT,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,IS_FAILED_TRIP,TRAIN_PURPOSE,TRAVEL_MISSION_CHECK,MISSION_PURPOSE_GAP_RATIO
e_e000299,50,여,12,대중교통 등,3,7.0,0,2,4.17,4.0,4.33,2023,5,2023-05-27,2023-05-29,6,0,3,0,2,13,257400,4,3,0,나홀로 여행,0,3;6,11;3;6,0.3333
e_e000301,20,남,4,대중교통 등,4,7.0,324500,2,4.75,4.75,4.75,2023,5,2023-05-19,2023-05-21,3,0,1,1,0,7,28100,4,3,1,2인 여행(가족 외),0,22;23;26;4,22;23;26,0.0
e_e000302,20,여,15,대중교통 등,4,7.0,0,3,4.6,4.6,3.73,2023,5,2023-05-19,2023-05-22,7,4,2,3,0,18,501200,5,3,0,나홀로 여행,0,2;21;22;26,2;22;26,0.0
e_e000307,30,남,6,자가용,4,7.0,0,1,4.33,3.83,3.83,2023,5,2023-05-21,2023-05-22,3,0,0,3,0,7,37800,3,3,0,나홀로 여행,0,3,22;3;6,0.6667
e_e000311,30,남,6,자가용,5,6.0,0,1,3.5,3.5,3.5,2023,5,2023-05-27,2023-05-28,2,0,1,3,0,6,71800,3,3,2,자녀 동반 여행,1,2;22;26;5,2;22;26,0.0
e_e000317,30,남,26,대중교통 등,4,7.0,59000,3,4.5,3.62,3.65,2023,5,2023-05-27,2023-05-30,7,2,1,5,3,29,137700,7,3,0,나홀로 여행,1,1;12;4;5;7,1;24;4,0.3333
e_e000319,50,여,16,대중교통 등,3,5.0,0,3,4.12,3.12,3.0,2023,5,2023-05-31,2023-06-03,2,3,0,9,6,24,98100,5,3,0,나홀로 여행,1,1;12;24;5;6,1;24;4,0.3333
e_e000322,60,남,13,대중교통 등,5,5.0,0,3,4.15,2.92,3.15,2023,6,2023-06-05,2023-06-08,1,3,1,6,3,18,11000,6,3,0,나홀로 여행,1,1;24;3;5;6,1;22;24,0.3333
e_e000323,20,여,12,대중교통 등,3,6.0,65000,2,4.5,4.17,4.17,2023,5,2023-05-27,2023-05-29,6,0,1,4,6,17,141400,4,3,1,2인 여행(가족 외),0,1;2;22;26;4,22;26;3,0.3333
e_e000329,20,여,12,대중교통 등,4,7.0,0,3,4.0,3.67,3.25,2023,5,2023-05-26,2023-05-29,9,3,1,2,0,16,537060,5,3,1,2인 여행(가족 외),1,1;12;7;9,1;12;7,0.0
e_e000331,30,여,11,대중교통 등,5,7.0,0,3,4.09,3.91,3.64,2023,5,2023-05-28,2023-05-31,4,1,3,1,6,18,287400,7,3,0,나홀로 여행,0,1;2,1;2;22,0.3333
e_e000332,20,남,4,자가용,3,7.0,65000,2,4.5,3.75,3.75,2023,5,2023-05-19,2023-05-21,5,0,0,0,1,7,243000,3,3,1,2인 여행(가족 외),0,1;2;5;7;9,24;26;7,0.6667
