TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a012513,2,-0.347909053457923,8,0,-0.32814194656296714,4.0
a_a010286,2,-0.3793081129367625,4,0,-0.3779341673220998,2.0
a_a002943,2,-0.41927055227346727,5,0,-0.44130608465190496,2.5
a_a007616,2,0.47417541289714704,5,0,0.9755089242215963,2.5
a_a002274,3,-0.12240671720080311,9,1,-0.17423871876201175,3.0
a_a006019,2,-0.41641609232084553,2,0,-0.43677951912834745,1.0
a_a000906,4,-0.2679841747845134,12,0,-0.3915138638927723,3.0
a_a015349,3,-0.11955225724818135,18,0,-0.17122100841297339,6.0
a_a002154,3,0.06027871976699023,11,0,0.018894743576442063,3.6666666666666665
a_a002044,4,-0.3393456736000577,8,0,-0.4480959329372412,2.0
a_a006823,2,-0.27654755464237873,2,0,-0.21497780847402934,1.0
a_a011550,2,-0.3878714927946278,5,0,-0.3915138638927723,2.5
a_a014106,2,-0.42212501222608906,5,0,-0.4458326501754625,2.5
a_a003723,3,-0.028209538764284673,12,0,-0.07465427724374647,4.0
a_a007165,2,-0.2908198544054876,6,0,-0.2376106360918169,3.0
a_a014226,2,-0.02250061885904113,8,0,0.18788652312258922,4.0
b_b006609,2,1.798644830913649,9,0,3.075835327152282,4.5
a_a007953,2,-0.2794020145950005,5,0,-0.21950437399758685,2.5
a_a007496,2,-0.2651297148318917,7,0,-0.19687154637979928,3.5
a_a007820,2,-0.4563785316575503,4,1,-0.5001514364581526,2.0
a_a017864,2,-0.3992893326051149,5,0,-0.40962012598700237,2.5
a_a008224,4,1.1535368816211284,20,0,0.7356009514730482,5.0
a_a006880,2,-0.38216257288938427,9,0,-0.3824607328456573,4.5
a_a006182,2,-0.3992893326051149,3,0,-0.40962012598700237,1.5
a_a006535,2,-0.410707172415602,3,0,-0.4277263880812324,1.5
a_a004739,2,0.06313317971961199,4,0,0.3236834888293146,2.0
a_a001922,3,1.3676213780677613,8,0,1.4010060834360025,2.6666666666666665
a_a007318,2,-0.37074473307889716,1,0,-0.36435447075142724,0.5
a_a007159,2,-0.3878714927946278,6,0,-0.3915138638927723,3.0
a_a015316,2,-0.19947713592159094,4,0,-0.09276053933797652,2.0
a_a017923,2,0.1316402185825345,5,0,0.43232106139469484,2.5
a_a017803,2,-0.43354285203657617,4,0,-0.4639389122696925,2.0
a_a015308,3,0.08311439938796439,9,0,0.04303642636874883,3.0
a_a001272,3,0.37141485460276324,7,0,0.34782517162162135,2.3333333333333335
a_a007380,2,-0.031063998716906443,4,0,0.17430682655191668,2.0
a_a004549,2,-0.24514849516353926,7,1,-0.16518558771489672,3.5
a_a000704,3,0.1230768387246692,29,0,0.08528437125528565,9.666666666666666
a_a007971,2,-0.21089497573207802,6,0,-0.11086680143220658,3.0
a_a007356,2,0.06884209962485555,5,0,0.3327366198764296,2.5
a_a001999,3,-0.0852987378167201,8,0,-0.13500848422451328,2.6666666666666665
a_a002861,3,-0.23373065535305218,4,0,-0.29192942237450703,1.3333333333333333
a_a006579,2,-0.23658511530567394,6,0,-0.15160589114422418,3.0
a_a002507,2,-0.06817197810098946,4,0,0.11546147474566902,2.0
a_a002763,3,-0.23373065535305218,5,0,-0.29192942237450703,1.6666666666666667
a_a006309,2,-0.32792783378957063,10,0,-0.29645598789806454,5.0
a_a012519,2,-0.447815151799685,6,0,-0.48657173988748004,3.0
a_a017613,2,-0.3621813532210319,7,0,-0.3507747741807547,3.5
a_a004752,2,-0.3022376942159747,3,0,-0.2557168981860469,1.5
a_a001851,3,0.3285979553134367,6,0,0.3025595163860462,2.0
a_a015096,3,-0.23373065535305218,6,0,-0.29192942237450703,2.0
