TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,TRAVEL_LENGTH,SEASON_Fall,SEASON_Summer,SEASON_nan,WEEKEND_RATIO,SEASON_Spring,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,IS_FAILED_TRIP,visit_trip_days,visit_move_cnt,AVG_ACTIVITIES_PER_DAY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM
e_e000338,21;22;24;26;6,2023-05-19,2023-05-20,대중교통 등,6;22;26,2,False,False,False,0.5,True,12500,2,2,9,6,119000,0,0,0.0,2.0,9.0,4.5,41.0,여,40.0,5.0,2.0,3.0,3.0,3.0,9.0,2.0,1.0,나홀로 여행,0.0
e_e000342,1;21;22;24;4,2023-05-19,2023-05-22,대중교통 등,4;21;22,4,False,False,False,0.5,True,531900,11,10,25,7,119000,0,0,0.0,4.0,18.0,6.25,30.0,남,60.0,6.0,2.0,3.0,2.0,5.0,8.0,2.0,1.0,3대 동반 여행(친척 포함),5.0
e_e000344,1;12;2;3;6,2023-05-19,2023-05-21,자가용,2;3;4,3,False,False,False,0.6666666666666666,True,168000,6,6,17,5,444675,1,1,0.0,3.0,7.0,5.666666666666667,36.0,남,30.0,6.0,2.0,3.0,4.0,5.0,5.0,2.0,2.0,자녀 동반 여행,2.0
e_e000345,22;6;9,2023-05-19,2023-05-21,대중교통 등,6;22;9,3,False,False,False,0.6666666666666666,True,660100,10,10,16,6,60000,1,1,1.0,3.0,13.0,5.333333333333333,29.0,남,30.0,4.0,1.0,4.0,12.0,1.0,6.0,3.0,7.0,3인 이상 여행(가족 외),2.0
e_e000346,21;22;24,2023-05-27,2023-05-28,자가용,22;21;5,2,False,False,False,1.0,True,27000,1,1,2,2,119000,0,0,0.0,2.0,4.0,1.0,11.0,남,60.0,6.0,2.0,3.0,2.0,6.0,6.0,2.0,1.0,3인 이상 여행(가족 외),2.0
e_e000347,2;4;8,2023-05-26,2023-05-30,대중교통 등,1;4;6,5,False,False,False,0.4,True,873940,15,11,19,6,50000,1,1,0.0,5.0,22.0,3.8,31.0,남,40.0,5.0,1.0,3.0,13.0,5.0,8.0,2.0,2.0,나홀로 여행,0.0
e_e000350,1;2;22,2023-05-18,2023-05-19,자가용,2;1;22,2,False,False,False,0.0,True,43500,5,4,5,4,119000,0,0,1.0,2.0,5.0,2.5,28.0,여,30.0,6.0,2.0,3.0,11.0,1.0,5.0,2.0,2.0,자녀 동반 여행,2.0
e_e000352,22;23;6;7,2023-05-21,2023-05-23,대중교통 등,23;22;21,3,False,False,False,0.3333333333333333,True,349400,9,9,15,4,270000,1,1,0.0,3.0,13.0,5.0,36.0,여,30.0,7.0,1.0,1.0,2.0,5.0,7.0,2.0,2.0,2인 여행(가족 외),1.0
e_e000353,1;22;6,2023-05-23,2023-05-24,자가용,1;2;3,2,False,False,False,0.0,True,25000,3,3,8,5,119000,0,0,0.0,2.0,7.0,4.0,41.0,여,40.0,6.0,1.0,1.0,3.0,2.0,7.0,3.0,2.0,나홀로 여행,0.0
e_e000355,1;11;2;6,2023-05-21,2023-05-22,자가용,5;11;27,2,False,False,False,0.5,True,101800,4,3,5,3,119000,0,0,0.0,2.0,3.0,2.5,11.0,여,40.0,6.0,2.0,3.0,11.0,1.0,5.0,2.0,2.0,자녀 동반 여행,2.0
