TRAVEL_ID,SUCCESS_SCORE,TRIP_DAYS,MOVE_CNT,activity_payment_sum,activity_history_rows,ACTIVITY_TYPE_CD,payment_persona,activity_balance_index,GENDER,AGE_GRP,HOUSE_INCOME,TRAVEL_MOTIVE_1,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,RESIDENCE_SGG_CD,move_cnt_per_day,activity_payment_sum_per_day,activity_history_rows_per_day,travel_intensity_index
a_a008052,41.66666666666667,2,6,22500,8,2.0,low,2.249999992786525,2,40,7,5,나홀로 여행,0.0,41.0,3.0,11250.0,4.0,-0.05182307993197596
a_a001736,36.666666666666664,2,5,76400,8,6.0,med,2.155639055016091,2,30,7,2,나홀로 여행,2.0,11.0,2.5,38200.0,4.0,-0.3960124235855219
a_a017889,37.66666666666667,2,4,11000,3,1.0,low,1.584962496393071,2,50,11,6,나홀로 여행,0.0,41.0,2.0,5500.0,1.5,-1.9684282035133047
a_a000797,44.0,2,6,32300,3,1.0,low,0.9182958311690995,1,30,8,1,2인 가족 여행,1.0,41.0,3.0,16150.0,1.5,-1.2800495162062127
a_a004637,37.33333333333333,2,6,56600,4,1.0,med,0.99999999711461,2,30,7,1,2인 여행(가족 외),1.0,41.0,3.0,28300.0,2.0,-1.0344042289513655
a_a004915,42.66666666666667,2,5,19000,4,5.0,low,1.4999999956719148,2,40,7,6,2인 가족 여행,0.0,11.0,2.5,9500.0,2.0,-1.3785935726049114
a_a001492,45.83333333333333,3,13,13300,12,1.0,low,1.9591479098137694,2,30,7,3,정보없음,1.0,36.0,4.333333333333333,4433.333333333333,4.0,0.8660151698108133
a_a009822,35.714285714285715,3,17,94200,11,1.0,med,2.1180782021362337,2,50,7,7,나홀로 여행,0.0,30.0,5.666666666666667,31400.0,3.6666666666666665,1.6200898947170381
a_a000898,43.33333333333333,4,16,430500,21,1.0,high,2.069893609224,2,20,7,1,2인 가족 여행,1.0,41.0,4.0,107625.0,5.25,1.2506688255122345
a_a003370,36.388888888888886,3,13,191900,19,1.0,high,2.353190661239457,2,30,7,7,2인 여행(가족 외),1.0,11.0,4.333333333333333,63966.666666666664,6.333333333333333,2.0123598436667676
a_a006463,29.333333333333336,1,4,7200,3,1.0,low,1.584962496393071,1,40,8,3,3대 동반 여행(친척 포함),5.0,11.0,4.0,7200.0,3.0,0.1452650328654213
a_a014518,34.0,2,3,10800,2,1.0,low,0.99999999711461,2,30,12,3,3대 동반 여행(친척 포함),4.0,41.0,1.5,5400.0,1.0,-2.558262834421698
a_a008580,45.33333333333333,3,6,199310,8,1.0,high,2.155639055016091,1,30,7,1,2인 여행(가족 외),1.0,11.0,2.0,66436.66666666667,2.6666666666666665,-1.3952558665853276
b_b012272,39.33333333333333,2,7,43600,9,1.0,low,1.351644110825307,2,60,7,7,나홀로 여행,0.0,41.0,3.5,21800.0,4.5,0.5380115509764174
a_a007144,43.33333333333334,2,8,44500,9,1.0,low,2.0588138831177263,2,30,7,4,나홀로 여행,0.0,41.0,4.0,22250.0,4.5,0.8822008946299633
a_a010137,50.0,2,4,54500,8,1.0,med,1.9999999927865248,1,20,7,1,나홀로 여행,0.0,41.0,2.0,27250.0,4.0,-0.7402017672390679
a_a006575,44.0,1,2,84000,2,3.0,med,0.99999999711461,1,20,4,3,2인 여행(가족 외),1.0,28.0,2.0,84000.0,2.0,-1.7227829162584576
a_a017871,35.46464646464647,2,7,20000,3,3.0,low,0.9182958311690995,2,40,10,3,자녀 동반 여행,2.0,11.0,3.5,10000.0,1.5,-0.9358601725526667
a_a008115,41.33333333333333,3,8,65800,8,5.0,med,1.9056390564587862,2,30,7,3,정보없음,1.0,36.0,2.6666666666666665,21933.333333333332,2.6666666666666665,-0.936336741713933
a_a018155,37.222222222222214,2,8,70400,10,1.0,med,2.24643933745754,2,20,7,2,나홀로 여행,0.0,45.0,4.0,35200.0,5.0,1.1278461818848107
a_a017959,46.888888888888886,2,8,140230,4,1.0,med,1.9999999942292197,2,40,7,3,자녀 동반 여행,2.0,41.0,4.0,70115.0,2.0,-0.34602554164427346
a_a008616,38.333333333333336,4,11,93480,19,1.0,med,2.35980629526493,2,30,7,2,나홀로 여행,0.0,11.0,2.75,23370.0,4.75,0.14455017912352208
a_a004611,48.0,3,6,84000,5,1.0,med,1.921928089116582,2,30,7,3,정보없음,1.0,36.0,2.0,28000.0,1.6666666666666667,-1.8865464410950223
a_a004227,40.777777777777786,3,9,120500,7,1.0,med,1.8423709874063285,1,20,9,2,나홀로 여행,0.0,47.0,3.0,40166.666666666664,2.3333333333333335,-0.8706407041148005
a_a007929,42.777777777777786,2,14,154700,12,1.0,high,2.4591479083710746,2,20,7,3,2인 여행(가족 외),1.0,41.0,7.0,77350.0,6.0,3.684272818315782
a_a009775,38.0,2,6,20000,2,1.0,low,-1.4426951595367387e-09,1,20,12,2,2인 여행(가족 외),1.0,11.0,3.0,10000.0,1.0,-1.52569480346106
