TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,PAYMENT_NUM,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,LODGING_TYPE_NM,RSVT_YN_ENC,LODGING_TYPE_CD_ENC,PAYMENT_MTHD_SE_ENC
e_e000474,카카오호텔,1,1,Y,1,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-22 14:31:00,1,75000,호텔,1,0,0
e_e000477,약수동산,0,5,Y,2,정보없음,경기 양평군 옥천면 약수동산길 86,경기 양평군 옥천면 옥천리 936,2023-05-27 00:00:00,5,115000,유스호스텔,1,4,4
e_e000482,글래드 여의도,0,1,Y,2,정보없음,서울 영등포구 의사당대로 16,서울 영등포구 여의도동 17-5,2023-05-19 00:00:00,1,335104,호텔,1,0,0
e_e000483,가평프리미엄키즈풀빌라,1,3,Y,8,정보없음,정보없음,정보없음,2023-05-27 00:00:00,1,980000,콘도미니엄,1,2,0
e_e000490,호텔쿠레타케소 인사동,0,1,Y,1,정보없음,서울 종로구 인사동길 20-9,서울 종로구 인사동 34-2,2023-06-02 00:00:00,1,71400,호텔,1,0,0
e_e000491,자일랜드글램핑,1,5,Y,3,캠핑톡 주식회사,서울 중구 청계천로 40,서울 중구 다동 10,2023-04-28 15:09:00,1,139000,유스호스텔,1,4,0
e_e000496,경원재앰배서더 인천,1,1,Y,2,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-15 01:16:00,3,229740,호텔,1,0,2
e_e000500,알멕스랜드,1,4,Y,4,(주)다날,경기 성남시 분당구 분당로 55,정보없음,2023-04-04 13:35:00,1,380000,모텔/여관,1,3,0
e_e000509,토요코인호텔 영등포점,1,1,Y,2,호텔스 닷컴,서울 종로구 종로5길 7,정보없음,2023-05-15 00:00:00,1,91976,호텔,1,0,0
e_e000526,서울큐브이화,1,7,Y,1,서울큐브이화,서울 마포구 대흥로30길 18-10,서울 마포구 염리동 9-124,2023-05-15 00:00:00,3,25000,전통숙소,1,6,2
e_e000531,스테이엘펜션,0,3,Y,2,정보없음,경기 가평군 상면 수목원로386번길 14-19,정보없음,2023-05-27 00:00:00,5,185000,콘도미니엄,1,2,4
e_e000540,파크마린호텔,1,1,Y,3,야놀자 클라우드코리아,서울 강남구 테헤란로114길 38,서울 강남구 대치동 1004,2023-05-30 00:00:00,1,147870,호텔,1,0,0
e_e000547,경기도교직원가평수덕원,0,4,Y,4,정보없음,경기 가평군 가평읍 북한강변로 238,경기 가평군 가평읍 금대리 520-5,2023-06-09 00:00:00,5,10000,모텔/여관,1,3,4
e_e000548,곤지암리조트,1,4,Y,3,정보없음,정보없음,정보없음,2023-05-27 00:00:00,1,238000,모텔/여관,1,3,0
e_e000548,곤지암리조트,2,4,Y,3,곤지암리조트,경기 광주시 도척면 도척윗로 278,정보없음,2023-05-18 00:00:00,1,238000,모텔/여관,1,3,0
e_e000560,금은모래캠핑장,1,5,Y,2,소스팜 주식회사,서울 강남구 도곡로1길 14,서울 강남구 역삼동 837-26,2023-04-20 10:21:00,1,15000,유스호스텔,1,4,0
e_e000561,아트포레,0,10,N,1,정보없음,인천 연수구 인천타워대로 257,인천 연수구 송도동 84-2,2023-05-20 00:00:00,4,0,게스트하우스,0,9,3
e_e000563,호텔야자 종로점,1,1,Y,2,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-26 15:24:00,1,126740,호텔,1,0,0
e_e000567,국립아세안자연휴양림,1,9,Y,4,아세안 자연휴양림,경기 양주시 백석읍 기산로 472,경기 양주시 백석읍 기산리 산 103-1,2023-05-18 17:45:00,1,45000,기타,1,8,0
e_e000590,탑클라우드호텔 수원점,1,1,Y,2,여기어때,정보없음,정보없음,2023-05-23 00:00:00,1,48000,호텔,1,0,0
e_e000594,철이네캠핑랜드,0,5,Y,2,정보없음,경기 용인시 처인구 백암면 용천로 205,경기 용인시 처인구 백암면 용천리 627-15,2023-05-28 00:00:00,5,170000,유스호스텔,1,4,4
e_e000595,곤지암리조트,1,4,Y,2,(주)디앤오,경기 광주시 도척면 도척윗로 278,정보없음,2023-05-28 11:22:00,1,60000,모텔/여관,1,3,0
e_e000599,더플라자,1,1,Y,2,더 플라자 서울,서울 중구 소공로 119,정보없음,2023-06-04 00:00:00,1,251680,호텔,1,0,0
e_e000603,호텔PJ,1,1,Y,4,아고다,정보없음,정보없음,2023-05-22 00:00:00,1,357048,호텔,1,0,0
e_e000607,일월일지,1,3,Y,4,일월일지,경기 양평군 단월면 통골길 71,경기 양평군 단월면 명성리 17-1,2023-05-20 16:01:00,1,520000,콘도미니엄,1,2,0
e_e000608,라마다 서울동대문,0,1,N,1,정보없음,서울 중구 동호로 354,정보없음,2023-05-22 00:00:00,4,0,호텔,0,0,3
e_e000615,호텔소노,1,1,Y,2,신포 호텔소노,인천 중구 우현로9번길 13,인천 중구 사동 15-1,2023-06-02 22:12:00,3,85000,호텔,1,0,2
e_e000618,더플라자,1,1,Y,2,더 플라자 호텔,서울 중구 소공로 119,서울 중구 태평로2가 23,2023-05-29 14:05:00,1,366120,호텔,1,0,0
e_e000621,홀리데이인인천송도,0,1,Y,1,정보없음,인천 연수구 인천타워대로 251,인천 연수구 송도동 33-1,2023-05-27 00:00:00,2,280000,호텔,1,0,1
e_e000623,반달곰이살던숲,1,5,Y,6,(주)다날,경기 성남시 분당구 분당로 55,정보없음,2023-04-01 10:01:00,1,220000,유스호스텔,1,4,0
e_e000627,오라카이 송도파크호텔,1,1,Y,1,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-04-26 00:00:00,1,76000,호텔,1,0,0
e_e000628,소노휴 양평,0,4,Y,3,정보없음,경기 양평군 개군면 신내길7번길 55,경기 양평군 개군면 공세리 389-7,2023-05-26 00:00:00,1,150000,모텔/여관,1,3,0
e_e000628,클럽보드리조트,0,4,Y,3,정보없음,경기 가평군 가평읍 북한강변로 214,경기 가평군 가평읍 금대리 510,2023-05-26 00:00:00,5,200000,모텔/여관,1,3,4
e_e000644,킨텍스캠핑장,0,5,Y,4,정보없음,경기 고양시 일산서구 킨텍스로 217-25,경기 고양시 일산서구 대화동 2720,2023-05-20 00:00:00,5,25000,유스호스텔,1,4,4
e_e000647,친구의 친지집,0,10,N,2,정보없음,1157-3번지,정보없음,2023-05-20 00:00:00,4,0,게스트하우스,0,9,3
e_e000651,자라섬 캠핑장 카라반C,1,5,Y,4,가평군시설관리공단,경기 가평군 가평읍 문화로 131,정보없음,2023-05-15 23:46:00,1,80000,유스호스텔,1,4,0
e_e000655,A플러스호텔,1,1,Y,1,(주)여기어때,서울 강남구 봉은사로 479,정보없음,2023-05-20 13:01:00,1,60000,호텔,1,0,0
e_e000655,에스모텔,1,1,Y,1,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-21 06:49:00,1,33000,호텔,1,0,0
e_e000669,포천자연마을 서울캠핑장,1,5,Y,4,(주)케이지이니시스,서울 중구 통일로 92,서울 중구 순화동 1-170,2023-05-02 15:10:00,1,17710,유스호스텔,1,4,0
e_e000669,프렌즈펜션캠핑,1,3,Y,4,프렌즈펜션,경기 포천시 이동면 포화로 123,정보없음,2023-05-23 13:27:00,3,99000,콘도미니엄,1,2,2
e_e000673,위코스테이 영종,0,1,Y,1,정보없음,인천 중구 영종진광장로 10,인천 중구 중산동 1947-5,2023-05-27 00:00:00,1,110000,호텔,1,0,0
e_e000680,숙소에 도착,0,1,Y,3,정보없음,페어몬트호텔,정보없음,2023-06-03 00:00:00,1,1000000,호텔,1,0,0
e_e000682,호텔달,1,2,Y,2,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-17 21:35:00,1,45000,펜션,1,1,0
e_e000707,DMZ마루캠핑장,0,5,Y,4,정보없음,경기 연천군 중면 군중로 399,경기 연천군 중면 삼곶리 317-3,2023-06-03 00:00:00,5,100000,유스호스텔,1,4,4
e_e000707,로하스캠핑,0,5,N,4,정보없음,경기 연천군 중면 군중로 319-46,경기 연천군 중면 삼곶리 185,2023-06-03 00:00:00,4,0,유스호스텔,0,4,3
e_e000710,분지울작은캠핑장,1,5,Y,2,분지울작은캠프장,경기 양평군 단월면 분지울1길 81,경기 양평군 단월면 명성리 98-1,2023-05-20 00:00:00,1,60000,유스호스텔,1,4,0
e_e000710,분지울작은캠핑장,2,5,Y,2,분지울작은캠핑장,경기 양평군 단월면 분지울1길 81,경기 양평군 단월면 명성리 98-1,2023-05-15 23:30:00,3,60000,유스호스텔,1,4,2
e_e000715,지뜨,1,1,Y,2,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-20 02:25:00,1,124000,호텔,1,0,0
e_e000718,경기도 수원시 권선구 권광로123번길 25,1,2,Y,1,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-23 23:50:00,1,48000,펜션,1,1,0
e_e000718,수원시청역 하루,0,2,Y,1,정보없음,관광로 123번길 25,정보없음,2023-05-26 00:00:00,1,48000,펜션,1,1,0
e_e000733,자연과별가평천문대,0,3,Y,4,정보없음,경기 가평군 북면 백둔로342번길 115-33,경기 가평군 북면 백둔리 122-3,2023-05-20 00:00:00,1,336000,콘도미니엄,1,2,0
e_e000734,힐스테이트삼송역스칸센오피스텔(2블록),0,10,Y,1,정보없음,경기 고양시 덕양구 삼송로 240,경기 고양시 덕양구 삼송동 294,2023-05-20 00:00:00,4,0,게스트하우스,1,9,3
e_e000747,해목글램핑,1,5,Y,7,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,2023-04-19 00:00:00,1,159000,유스호스텔,1,4,0
e_e000747,해목글램핑,2,5,Y,7,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,2023-04-19 19:31:00,1,159000,유스호스텔,1,4,0
e_e000765,라벤더온천모텔,1,2,N,3,라벤더온천텔,경기 화성시 팔탄면 버들로1597번길 22,경기 화성시 팔탄면 월문리 235-68,2023-05-21 18:03:00,1,55000,펜션,0,1,0
e_e000771,곤지암리조트 West빌리지,1,4,Y,3,(주)디앤오,경기 광주시 도척면 도척윗로 278,정보없음,2023-06-03 09:31:00,1,60000,모텔/여관,1,3,0
e_e000774,더블스테이 쁘띠로키즈풀빌라,1,3,Y,7,주식회사 떠나요,서울 성동구 광나루로6길 54,서울 성동구 성수동2가 279-14,2023-05-30 10:12:00,1,350000,콘도미니엄,1,2,0
e_e000785,미리내리조트힐빙클럽,1,4,Y,5,(주)미리내,경기 양평군 지평면 월산저수지길 21,정보없음,2023-05-20 17:40:00,3,161465,모텔/여관,1,3,2
e_e000789,파크뷰테라스호텔,1,1,Y,4,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-20 00:00:00,3,165000,호텔,1,0,2
e_e000791,친구 집,0,10,Y,2,정보없음,61-28,정보없음,2023-05-20 00:00:00,4,0,게스트하우스,1,9,3
e_e000804,글래드 마포,1,1,Y,2,글래드 마포,서울 마포구 마포대로 92,서울 마포구 도화동 25-13,2023-05-14 02:13:00,3,119000,호텔,1,0,2
e_e000804,호텔라르,1,1,Y,2,호텔 라르 김포,경기 김포시 고촌읍 장차로5번길 5-9,경기 김포시 고촌읍 신곡리 1068-3,2023-05-14 10:00:00,3,185000,호텔,1,0,2
e_e000810,소담빌,1,11,Y,1,에어비앤비,정보없음,정보없음,2023-05-07 22:15:00,1,99660,리조트,1,10,0
e_e000812,경기도교직원가평수덕원,1,4,Y,4,가평수덕원,경기 가평군 가평읍 북한강변로 238,경기 가평군 가평읍 금대리 531-2,2023-05-12 23:49:00,3,10000,모텔/여관,1,3,2
e_e000817,평화누리캠핑장,1,5,Y,3,정보없음,정보없음,정보없음,2023-04-05 00:00:00,1,170000,유스호스텔,1,4,0
e_e000818,무아레 도그라운드,0,3,Y,2,정보없음,삼회리 464 (경기 가평군 청평면 북한강로1636번길 25),정보없음,2023-05-31 00:00:00,4,0,콘도미니엄,1,2,3
e_e000826,로하스캠핑,0,5,Y,3,정보없음,경기 연천군 중면 군중로 319-46,경기 연천군 중면 삼곶리 185,2023-05-26 00:00:00,5,320000,유스호스텔,1,4,4
e_e000826,로하스캠핑장,0,5,Y,3,정보없음,경기 연천군 중면 군중로 319-46,정보없음,2023-05-26 00:00:00,3,0,유스호스텔,1,4,2
e_e000828,호텔알로하,1,1,Y,2,㈜야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-18 02:37:00,1,100000,호텔,1,0,0
